Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"18","'064","Bhutan","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","0.2","E","0.1","E","0.1","E","0.1","E","0.2","E","<0.1","E"
"26","'096","Brunei Darussalam","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.98","E","4.11","E","4.17","E","4.25","E","4.48","E","4.9","E"
"26","'096","Brunei Darussalam","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.67","E",,,,,,,"0.63","E",,
"26","'096","Brunei Darussalam","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.12","E",,,,,,,"1.2","E",,
"26","'096","Brunei Darussalam","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.4","E",,,,,,,"0.46","E",,
"26","'096","Brunei Darussalam","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.93","E",,,,,,,"1.2","E",,
"26","'096","Brunei Darussalam","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.89","E",,,,,,,"0.86","E",,
"26","'096","Brunei Darussalam","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.1","E",,,,,,,"0.12","E",,
"26","'096","Brunei Darussalam","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%",,"O",,"O",,"O",,"O",,"O",,"O"
"26","'096","Brunei Darussalam","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No",,"O",,"O",,"O",,"O",,"O",,"O"
"115","'116","Cambodia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.72","E","3.81","E","3.89","E","4","E","4.18","E","4.5","E"
"115","'116","Cambodia","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.5","E",,,,,,,"0.67","E",,
"115","'116","Cambodia","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.23","E",,,,,,,"1.14","E",,
"115","'116","Cambodia","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.42","E",,,,,,,"0.43","E",,
"115","'116","Cambodia","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.79","E",,,,,,,"1.09","E",,
"115","'116","Cambodia","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.53","E",,,,,,,"0.6","E",,
"115","'116","Cambodia","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.15","E",,,,,,,"0.26","E",,
"115","'116","Cambodia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%",,"O",,"O",,"O",,"O",,"O",,"O"
"115","'116","Cambodia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No",,"O",,"O",,"O",,"O",,"O",,"O"
"96","'344","China, Hong Kong SAR","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.64","E","3.81","E","3.93","E","4.13","E","4.43","E","4.88","E"
"96","'344","China, Hong Kong SAR","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.74","E",,,,,,,"0.86","E",,
"96","'344","China, Hong Kong SAR","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.03","E",,,,,,,"1.21","E",,
"96","'344","China, Hong Kong SAR","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.3","E",,,,,,,"0.34","E",,
"96","'344","China, Hong Kong SAR","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.74","E",,,,,,,"0.96","E",,
"96","'344","China, Hong Kong SAR","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.67","E",,,,,,,"0.86","E",,
"96","'344","China, Hong Kong SAR","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.16","E",,,,,,,"0.2","E",,
"96","'344","China, Hong Kong SAR","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%",,"O",,"O",,"O",,"O",,"O",,"O"
"96","'344","China, Hong Kong SAR","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No",,"O",,"O",,"O",,"O",,"O",,"O"
"41","'156","China, mainland","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.68","E","2.74","E","2.91","E","3.11","E","3.08","E","3.35","E"
"41","'156","China, mainland","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.43","E",,,,,,,"0.45","E",,
"41","'156","China, mainland","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.67","E",,,,,,,"0.9","E",,
"41","'156","China, mainland","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.28","E",,,,,,,"0.29","E",,
"41","'156","China, mainland","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.48","E",,,,,,,"0.59","E",,
"41","'156","China, mainland","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.62","E",,,,,,,"0.73","E",,
"41","'156","China, mainland","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.09","E",,,,,,,"0.13","E",,
"41","'156","China, mainland","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","28.2","E","24.4","E","22","E","23","E","17.6","E","17.5","E"
"41","'156","China, mainland","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","398.1","E","346.2","E","313.1","E","327.6","E","251.3","E","249.3","E"
"214","'158","China, Taiwan Province of","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.99","E",,"O",,"O",,"O","4.97","E",,"O"
"214","'158","China, Taiwan Province of","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.86","E",,,,,,,"1.05","E",,
"214","'158","China, Taiwan Province of","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.91","E",,,,,,,"1.29","E",,
"214","'158","China, Taiwan Province of","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.47","E",,,,,,,"0.57","E",,
"214","'158","China, Taiwan Province of","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.86","E",,,,,,,"1.15","E",,
"214","'158","China, Taiwan Province of","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.75","E",,,,,,,"0.75","E",,
"214","'158","China, Taiwan Province of","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.13","E",,,,,,,"0.15","E",,
